discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link,latitude,longtidute
CNF,Trubridge William,NZ,86,2008-04-10,Vertical Blue 2008,Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,not_found,not_found,-40.900557,174.885971
CNF,Trubridge William,NZ,84,2008-04-04,Vertical Blue 2008,Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,not_found,not_found,-40.900557,174.885971
CNF,Trubridge William,NZ,82,2007-04-11,WR Attempt - TRUBRIDGE William(CNF),Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,World record Unassisted Freediving – 82m,https://www.youtube.com/watch?v=uGy4BUg0_Fw,-40.900557,174.885971
CNF,Trubridge William,NZ,81,2007-04-09,WR Attempt - TRUBRIDGE William(CNF),Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,not_found,not_found,-40.900557,174.885971
FIM,Trubridge William,NZ,124,2016-05-02,Vertical Blue 2016,Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,not_found,not_found,-40.900557,174.885971
FIM,Trubridge William,NZ,122,2016-04-30,Vertical Blue 2016,Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,Vertical Blue 2016 - William Trubridge sets a new World Record,https://www.youtube.com/watch?v=H3BUVH8X5Yw,-40.900557,174.885971
FIM,Trubridge William,NZ,121,2011-04-10,Vertical Blue 2011,Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,"World Record for William Trubridge ""Free Immersion"" -121 m (396,98 ft)",https://www.youtube.com/watch?v=5QZerTPcQ1o,-40.900557,174.885971
FIM,Trubridge William,NZ,116,2010-04-22,Vertical Blue 2010 - the Suunto Dive-Off,Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,not_found,not_found,-40.900557,174.885971
FIM,Trubridge William,NZ,108,2008-04-11,Vertical Blue 2008,Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,not_found,not_found,-40.900557,174.885971
FIM,Trubridge William,NZ,107,2008-04-08,Vertical Blue 2008,Men,https://en.wikipedia.org/wiki/William_Trubridge,https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550,not_found,not_found,-40.900557,174.885971
DNF,Nevatt Kathryn,NZ,163,2012-08-18,New Zealand Indoor Nationals,Women,None,https://athletes.aidainternational.org/Profile-a9846cd8-6635-4d57-9b7c-39765946198e,not_found,not_found,-40.900557,174.885971
DNF,Nevatt Kathryn,NZ,159,2009-08-13,Nordic Deep 2009,Women,None,https://athletes.aidainternational.org/Profile-a9846cd8-6635-4d57-9b7c-39765946198e,not_found,not_found,-40.900557,174.885971
DNF,Nevatt Kathryn,NZ,152,2009-07-12,"Wellington Winter Champs, Freediving Competition DAY 1",Women,None,https://athletes.aidainternational.org/Profile-a9846cd8-6635-4d57-9b7c-39765946198e,not_found,not_found,-40.900557,174.885971
DNF,Nevatt Kathryn,NZ,151,2008-08-10,Wellington Winter Champs 2008,Women,None,https://athletes.aidainternational.org/Profile-a9846cd8-6635-4d57-9b7c-39765946198e,Kathryn's world record dynamic without fins 151m,https://www.youtube.com/watch?v=6hnIStqYdA0,-40.900557,174.885971
DYN,Malina Mateusz,PL,300,2016-07-02,Pool World Championships 2016,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Freediving World Record DYN Mateusz Malina (300 m),https://www.youtube.com/watch?v=AfnneYkYF_4,51.919438,19.145136
