discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link,latitude,longtidute
FIM,Molchanova Natalia,RU,90,2009-09-25,Ruler of the Deep,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,Freediving World Record by Natalia Molchanova (Free Immersion 90 meters),https://www.youtube.com/watch?v=yw2U-91LB68,61.52401,105.318756
FIM,Molchanova Natalia,RU,85,2008-07-25,Mediterranean Freediving Meeting,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
FIM,Molchanova Natalia,RU,82,2008-06-10,Triple Depth 2008,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
FIM,Molchanova Natalia,RU,80,2006-06-04,Triple Depth 2006,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
FIM,Molchanova Natalia,RU,78,2005-11-05,Triple Depth - Freedive Dahab,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DNF,Enedahl-Mekki Yamina,SE,79,2002-03-02,Hvidovre Freedivers Club - club championship 2002,Women,https://sv.wikipedia.org/wiki/Yamina_Enedahl,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000198,not_found,not_found,60.128161,18.643501
DNF,Enedahl-Mekki Yamina,SE,79,2002-02-23,4th Berlin Master Cup,Women,https://sv.wikipedia.org/wiki/Yamina_Enedahl,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000198,not_found,not_found,60.128161,18.643501
VWT,Pompe Annelie,SE,126,2010-10-02,WR Attempt - Annelie POMPE (VWT),Women,https://en.wikipedia.org/wiki/Annelie_Pompe,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000545,Annelie Pompe Variable World Record 126 meters,https://www.youtube.com/watch?v=ZF2vtsxSdm0,60.128161,18.643501
CWT,Artnik Alenka,SI,114,2020-11-07,AIDA Blue Week Competition,Women,None,https://athletes.aidainternational.org/Profile-bb4aa3ec-e87a-48f5-9a6c-ece92e3d95db,ALENKA ARTNIK -114m WORLD RECORD FREEDIVING IN MONOFIN,https://www.youtube.com/watch?v=a7mc5gnfaS4,46.151241,14.995463
CWT,Artnik Alenka,SI,105,2018-07-21,Vertical Blue,Women,None,https://athletes.aidainternational.org/Profile-bb4aa3ec-e87a-48f5-9a6c-ece92e3d95db,ALENKA ARTNIK matches a World Record Dive at Vertical Blue 2018 diving on breath-hold to 105m CWT,https://www.youtube.com/watch?v=gQ38_iDAec4,46.151241,14.995463
CWTB,Artnik Alenka,SI,92,2019-06-11,Asian Freediving Cup 2019,Women,None,https://athletes.aidainternational.org/Profile-bb4aa3ec-e87a-48f5-9a6c-ece92e3d95db,"Alenka Artnik -92m CWT Bifin WORLD RECORD, Asian Freediving Cup 2019",https://www.youtube.com/watch?v=JV7U5YngMJA,46.151241,14.995463
